GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-game,cl.chessquery.game.service,GameService,453,0,28,0,94,0,24,0,10,0
ms-game,cl.chessquery.game.service,LiveGameService,666,957,101,52,134,206,76,31,6,21
ms-game,cl.chessquery.game.service,LiveGameFinalizer,190,4,10,0,48,1,14,1,9,1
ms-game,cl.chessquery.game.service,LiveGameFinalizer.new TransactionSynchronization() {...},17,0,0,0,3,0,2,0,2,0
ms-game,cl.chessquery.game.service,EventPublisherService,179,4,16,0,37,1,13,1,5,1
ms-game,cl.chessquery.game.realtime,LiveGameBroadcaster,162,4,8,0,30,1,10,1,6,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.MoveRequest,0,15,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.RematchRequest,6,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,OpeningResponse,15,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,GameResponse,54,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,ErrorResponse,15,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,LiveGameDtos.InviteRequest,9,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,RegisterGameRequest,0,36,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.LiveGameResponse,0,60,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.JoinLiveGameRequest,0,9,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,PgnUrlResponse,9,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.dto,LiveGameDtos.LiveMoveResponse,0,27,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.CreateLiveGameRequest,0,15,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,LiveGameDtos.ResignRequest,0,6,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.dto,PageResponse,18,0,0,0,1,0,1,0,1,0
ms-game,cl.chessquery.game.exception,GlobalExceptionHandler,78,0,0,0,15,0,7,0,7,0
ms-game,cl.chessquery.game.exception,ApiException,3,13,0,0,1,5,1,2,1,2
ms-game,cl.chessquery.game.opening,OpeningDetector,105,11,16,0,23,3,11,1,3,1
ms-game,cl.chessquery.game.storage,MinioStorageService,88,0,0,0,17,0,5,0,5,0
ms-game,cl.chessquery.game.storage,StorageConfig,23,0,0,0,4,0,4,0,4,0
ms-game,cl.chessquery.game.storage,SupabaseStorageService.StorageException,0,5,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.storage,S3Config,89,0,12,0,24,0,9,0,3,0
ms-game,cl.chessquery.game.storage,SupabaseStorageService,13,221,1,1,3,33,1,5,0,5
ms-game,cl.chessquery.game.storage,SupabaseStorageHealthIndicator,82,0,4,0,20,0,4,0,2,0
ms-game,cl.chessquery.game,GameApplication,8,0,0,0,3,0,2,0,2,0
ms-game,cl.chessquery.game.controller,GameController,30,0,0,0,5,0,5,0,5,0
ms-game,cl.chessquery.game.controller,LiveGameController,62,0,0,0,10,0,10,0,10,0
ms-game,cl.chessquery.game.entity,Game.GameBuilder,157,0,0,0,1,0,19,0,19,0
ms-game,cl.chessquery.game.entity,LiveGameMove.LiveGameMoveBuilder,35,74,0,0,0,1,3,11,3,11
ms-game,cl.chessquery.game.entity,Opening,60,0,0,0,9,0,13,0,13,0
ms-game,cl.chessquery.game.entity,GameType,0,15,0,0,0,3,0,1,0,1
ms-game,cl.chessquery.game.entity,Opening.OpeningBuilder,54,0,0,0,1,0,8,0,8,0
ms-game,cl.chessquery.game.entity,LiveGameSession.LiveGameSessionBuilder,97,97,0,0,0,1,11,12,11,12
ms-game,cl.chessquery.game.entity,LiveGameSession.SessionStatus,0,27,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.entity,LiveGameMove,49,78,2,0,3,12,13,14,12,14
ms-game,cl.chessquery.game.entity,LiveGameSession,52,165,2,0,4,20,14,31,13,31
ms-game,cl.chessquery.game.entity,Game,180,0,2,0,24,0,37,0,36,0
ms-game,cl.chessquery.game.elo,EloResult,0,15,0,0,0,1,0,1,0,1
ms-game,cl.chessquery.game.elo,EloCalculator,9,86,3,5,1,13,3,4,0,2
ms-game,cl.chessquery.game.config,RabbitMQConfig,25,0,0,0,6,0,4,0,4,0
