GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-notifications,cl.chessquery.notifications.dto,NotificationDto,42,0,0,0,9,0,2,0,2,0
ms-notifications,cl.chessquery.notifications.controller,HealthController,9,0,0,0,2,0,2,0,2,0
ms-notifications,cl.chessquery.notifications.controller,NotificationController,104,0,6,0,27,0,9,0,6,0
ms-notifications,cl.chessquery.notifications,NotificationsApplication,8,0,0,0,3,0,2,0,2,0
ms-notifications,cl.chessquery.notifications.messaging,ChessEvent,197,0,38,0,6,0,32,0,13,0
ms-notifications,cl.chessquery.notifications.messaging,UserEventsConsumer,118,0,10,0,26,0,10,0,5,0
ms-notifications,cl.chessquery.notifications.messaging,TournamentEventsConsumer,148,0,15,0,31,0,15,0,5,0
ms-notifications,cl.chessquery.notifications.messaging,GameEventsConsumer,130,0,12,0,28,0,12,0,5,0
ms-notifications,cl.chessquery.notifications.messaging,EtlEventsConsumer,130,0,12,0,31,0,11,0,5,0
ms-notifications,cl.chessquery.notifications.service,NotificationService,522,226,28,2,90,44,25,7,10,7
ms-notifications,cl.chessquery.notifications.service,MockEmailService,108,4,4,0,24,1,5,1,3,1
ms-notifications,cl.chessquery.notifications.entity,NotifStatus,0,21,0,0,0,4,0,1,0,1
ms-notifications,cl.chessquery.notifications.entity,ProcessedEvent,129,0,22,0,6,0,22,0,11,0
ms-notifications,cl.chessquery.notifications.entity,NotificationLog.NotificationLogBuilder,52,71,1,1,0,1,6,9,5,9
ms-notifications,cl.chessquery.notifications.entity,Channel,0,21,0,0,0,4,0,1,0,1
ms-notifications,cl.chessquery.notifications.entity,ProcessedEvent.ProcessedEventBuilder,28,0,0,0,1,0,5,0,5,0
ms-notifications,cl.chessquery.notifications.entity,NotificationLog,478,52,94,0,11,6,72,6,25,6
ms-notifications,cl.chessquery.notifications.config,JacksonConfig,15,0,0,0,4,0,2,0,2,0
ms-notifications,cl.chessquery.notifications.config,RabbitMQConfig,103,0,0,0,21,0,16,0,16,0
