GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-tournament,cl.chessquery.tournament.client,UserEloClient,70,0,4,0,13,0,7,0,5,0
ms-tournament,cl.chessquery.tournament.entity,TournamentRound,72,0,2,0,12,0,16,0,15,0
ms-tournament,cl.chessquery.tournament.entity,TournamentStatus,27,0,0,0,5,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.entity,RegistrationStatus,27,0,0,0,5,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.entity,TournamentPairing,70,0,0,0,10,0,15,0,15,0
ms-tournament,cl.chessquery.tournament.entity,TournamentRegistration,88,0,4,0,15,0,19,0,17,0
ms-tournament,cl.chessquery.tournament.entity,Tournament,207,0,2,0,28,0,42,0,41,0
ms-tournament,cl.chessquery.tournament.entity,TournamentFormat,21,0,0,0,4,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.entity,RoundStatus,21,0,0,0,4,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.entity,Tournament.TournamentBuilder,188,0,4,0,1,0,22,0,20,0
ms-tournament,cl.chessquery.tournament.entity,TournamentPairing.TournamentPairingBuilder,64,0,0,0,1,0,9,0,9,0
ms-tournament,cl.chessquery.tournament.entity,TournamentRound.TournamentRoundBuilder,67,0,2,0,1,0,9,0,8,0
ms-tournament,cl.chessquery.tournament.entity,TournamentRegistration.TournamentRegistrationBuilder,76,0,2,0,1,0,10,0,9,0
ms-tournament,cl.chessquery.tournament.pairing,RoundRobinPairingStrategy,125,0,14,0,27,0,10,0,3,0
ms-tournament,cl.chessquery.tournament.pairing,PairingResult,0,12,0,0,0,1,0,1,0,1
ms-tournament,cl.chessquery.tournament.pairing,SwissPairingStrategy,0,72,0,4,0,17,0,4,0,2
ms-tournament,cl.chessquery.tournament.pairing,PairingStrategyFactory,20,0,3,0,5,0,4,0,2,0
ms-tournament,cl.chessquery.tournament.pairing,PlayerStanding,0,15,0,0,0,1,0,1,0,1
ms-tournament,cl.chessquery.tournament.pairing,KnockoutPairingStrategy,106,0,6,0,22,0,5,0,2,0
ms-tournament,cl.chessquery.tournament.dto,PairingResultRequest,6,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,ErrorResponse,15,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,PairingResponse,21,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,RejectRegistrationRequest,6,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,TournamentResponse,57,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,CreateTournamentRequest,42,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,RoundResponse,21,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,StandingEntry,21,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,RegistrationResponse,21,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,JoinTournamentRequest,6,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,PageResponse,18,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.dto,StatusTransitionRequest,6,0,0,0,1,0,1,0,1,0
ms-tournament,cl.chessquery.tournament.controller,TournamentController,208,0,32,0,33,0,30,0,14,0
ms-tournament,cl.chessquery.tournament.exception,GlobalExceptionHandler,78,0,0,0,15,0,7,0,7,0
ms-tournament,cl.chessquery.tournament.exception,ApiException,16,0,0,0,6,0,3,0,3,0
ms-tournament,cl.chessquery.tournament.config,AppConfig,7,0,0,0,2,0,2,0,2,0
ms-tournament,cl.chessquery.tournament.config,RabbitMQConfig,25,0,0,0,6,0,4,0,4,0
ms-tournament,cl.chessquery.tournament.service,EventPublisherService,171,0,4,0,39,0,12,0,10,0
ms-tournament,cl.chessquery.tournament.service,TournamentService,1667,0,125,0,334,0,97,0,32,0
ms-tournament,cl.chessquery.tournament,TournamentApplication,8,0,0,0,3,0,2,0,2,0
