GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-users,cl.chessquery.users.messaging,ChessEvent,169,28,38,0,1,5,24,8,5,8
ms-users,cl.chessquery.users.messaging,RatingUpdatedConsumer,103,443,28,54,19,102,29,27,2,12
ms-users,cl.chessquery.users.messaging,EloUpdatedConsumer,200,0,16,0,46,0,16,0,6,0
ms-users,cl.chessquery.users.messaging,UserRegisteredConsumer,0,79,0,4,0,23,0,5,0,3
ms-users,cl.chessquery.users.messaging,RatingUpdatedConsumer.Result,0,21,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.exception,GlobalExceptionHandler,56,22,0,0,11,4,4,3,4,3
ms-users,cl.chessquery.users.exception,ApiException,0,16,0,0,0,6,0,3,0,3
ms-users,cl.chessquery.users.controller,UserController,51,47,2,0,11,8,6,7,5,7
ms-users,cl.chessquery.users.entity,ChessTitle,0,51,0,0,0,2,0,1,0,1
ms-users,cl.chessquery.users.entity,Country.CountryBuilder,15,30,0,0,0,1,2,5,2,5
ms-users,cl.chessquery.users.entity,Club,60,0,0,0,8,0,13,0,13,0
ms-users,cl.chessquery.users.entity,Club.ClubBuilder,55,0,0,0,1,0,8,0,8,0
ms-users,cl.chessquery.users.entity,PlayerTitleHistory,42,28,0,0,6,3,12,3,12,3
ms-users,cl.chessquery.users.entity,RatingHistory.RatingHistoryBuilder,84,0,0,0,1,0,11,0,11,0
ms-users,cl.chessquery.users.entity,RatingType,0,33,0,0,0,6,0,1,0,1
ms-users,cl.chessquery.users.entity,ProcessedEvent,24,16,0,0,4,2,7,2,7,2
ms-users,cl.chessquery.users.entity,RatingHistory,90,0,0,0,11,0,19,0,19,0
ms-users,cl.chessquery.users.entity,AgeCategory,13,141,3,7,3,21,5,7,2,5
ms-users,cl.chessquery.users.entity,Player,108,150,0,0,15,17,28,24,28,24
ms-users,cl.chessquery.users.entity,ProcessedEvent.ProcessedEventBuilder,10,28,0,0,0,1,1,5,1,5
ms-users,cl.chessquery.users.entity,PlayerTitleHistory.PlayerTitleHistoryBuilder,32,34,0,0,0,1,4,5,4,5
ms-users,cl.chessquery.users.entity,Player.PlayerBuilder,100,123,0,0,0,1,10,16,10,16
ms-users,cl.chessquery.users.entity,Country,28,22,0,0,4,3,8,3,8,3
ms-users,cl.chessquery.users.dto,PlayerSearchResponse,0,42,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,ClubDto,0,15,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,ProvisionPlayerRequest,0,21,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,ErrorResponse,0,15,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,UpdateEloRequest,0,12,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,UpdateProfileRequest,0,15,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,RatingHistoryResponse,24,0,0,0,1,0,1,0,1,0
ms-users,cl.chessquery.users.dto,PlayerProfileResponse,0,72,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,CountryDto,0,15,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,RankingEntryResponse,0,36,0,0,0,1,0,1,0,1
ms-users,cl.chessquery.users.dto,AuthSyncRequest,18,0,0,0,1,0,1,0,1,0
ms-users,cl.chessquery.users,UsersApplication,5,3,0,0,2,1,1,1,1,1
ms-users,cl.chessquery.users.config,RabbitMQConfig,71,0,0,0,16,0,11,0,11,0
ms-users,cl.chessquery.users.service,RankingService,114,0,10,0,30,0,10,0,5,0
ms-users,cl.chessquery.users.service,PlayerService,1010,118,95,4,217,26,80,9,28,8
ms-users,cl.chessquery.users.service,EventPublisherService,101,4,2,0,28,1,6,1,5,1
